serial_number,closest_match,closest_match_percentage
5A29000303,5A29000326,0.8
6115001588,6115001586,0.9
6115001120,6115001185,0.8
6118002546,6118002545,0.9
6118003318,6118003317,0.9
6113001692,6116001698,0.8
6115001509,6115001503,0.9
6116001916,6116001981,0.8
5A29000569,5A29000563,0.9
6129002300,6129001306,0.8
5A23001664,5A23001515,0.7
6114000132,6112000134,0.8
6118002751,6118002750,0.9
6118002849,6118002843,0.9
6116001286,6116001281,0.9
6116002661,6116002669,0.9
5B12003784,5B12002783,0.8
6116001985,6116001981,0.9
5B19001317,5B20001313,0.7
6118002858,6118002750,0.8
6116001499,6116001494,0.9
5A27001950,5A27001959,0.9
6111000280,6111000285,0.9
5A29001306,5A29001300,0.9
6116002209,6116002203,0.9
6115001513,6115001586,0.8
5A27000559,5A27000655,0.8
6108000650,6109000655,0.8
6111001837,6111001835,0.9
