serial_number,closest_match,closest_match_percentage
6111000430,6111000452,0.8
6116002376,6116002370,0.9
6115001265,6115001213,0.8
6111001658,6111001756,0.8
5A27001692,5A27001898,0.8
5A29000580,5A29000537,0.8
6118002057,6118002053,0.9
6116002769,6118002769,0.8
6116002735,6116002736,0.9
5A28001299,5A28001202,0.8
5B13002496,5B13002412,0.8
6118002824,6118002725,0.8
6115001229,6115001220,0.9
6116002828,6116002023,0.8
5B12003649,5B12002642,0.8
5B12002516,5B12002617,0.8
6118002836,6118002832,0.9
6116002852,6116002856,0.9
5A27000569,5A29000563,0.8
6115000505,6115000530,0.8
6116000763,6116000782,0.8
6118002584,6118002382,0.8
6113000578,6115000570,0.8
6116001362,6116001347,0.8
6116001689,6116001684,0.9
5A27001358,5A27001321,0.8
6116002516,6116002514,0.9
6123001044,6111001044,0.7
6128001247,6118001640,0.7
5A29001291,5A29001253,0.8
6118003176,6118003170,0.9
5A27001480,5A27001469,0.8
5B12002790,5B12002794,0.9
5B13001213,5B13001214,0.9
5A29000418,5A29000819,0.8
5A22001076,5A22001043,0.8
5B13002306,5B13002318,0.8
5B13001630,5B13001615,0.8
6116002173,6116002170,0.9
6116001070,6116001058,0.8
6118003157,6118003154,0.9
6116001356,6116001058,0.8
6111000253,6111000251,0.9
5A28000316,5A28000816,0.8
5B12002790,5B12002794,0.9
6118002828,6118002725,0.8
6116001026,6116001029,0.9
5B13001281,5B13001214,0.8
6115002009,6118002004,0.8
5A28002453,5A28002402,0.8
6115002153,6111002153,0.8
6116001463,6116001467,0.9
6118003058,6118003054,0.9
6116002755,6116002357,0.8
6129002500,6129002208,0.8
6112001064,6111001066,0.8
6112001191,6112001127,0.8
6116001364,6116001347,0.8
5B12004773,5B12004774,0.9
5B13001548,5B13001045,0.8
6116001785,6116001740,0.8
5A28000286,5A28000270,0.8
6116002448,6116002646,0.8
6111001128,6111001120,0.9
6116002829,6116002023,0.8
6118002652,6118002664,0.8
6115000467,6115000468,0.9
6118003592,6118003597,0.9
6111000285,6111000280,0.9
5A27002018,5A27002025,0.8
6118002640,6118002643,0.9
6116002160,6118002167,0.8
6118003204,6118003106,0.8
5B13001106,5B13001199,0.8
6112001274,6112001279,0.9
6115000954,6111000452,0.7
5A28001941,5A27001949,0.8
6112001291,6112001279,0.8
5A28001871,5A28001272,0.8
6116002778,6116002772,0.9
5B13001265,5B13001214,0.8
5A22000138,5A28000139,0.8
6116002305,6116002302,0.9
5B14002032,5B14001738,0.7
5A22000138,5A28000139,0.8
6118003310,6118003318,0.9
5B12002837,5B12002820,0.8
5B12002905,5B12002965,0.8
6111000552,6111000452,0.8
5B12002768,5B12002762,0.9
5B12002689,5B12002783,0.8
6111000854,6111000452,0.8
5B13000803,5B13000889,0.8
6116002305,6116002302,0.9
5A27000693,5A27000666,0.8
6115001194,6115001102,0.8
5B12003037,5B12003020,0.8
6118002393,6118002392,0.9
5A22001259,5A29001253,0.8
6118002545,6118002546,0.9
5B12002657,5B12002617,0.8
5A28000382,5A28000383,0.9
6118003081,6118003086,0.9
5B13001643,5B13001615,0.8
6111000662,6111000686,0.8
6116001743,6116001740,0.9
6116001616,6116001610,0.9
6112000071,6112000081,0.8
5B12003609,5B12003403,0.8
6106001353,6109001353,0.8
5B20002224,5B20001223,0.8
5A29001267,5A29001265,0.9
5B20001017,5B20001016,0.9
6116002697,6116002694,0.9
6118003161,6118003168,0.9
6116002341,6116002343,0.9
6116002450,6116002357,0.8
6111000355,6111000452,0.8
5B20001012,5B20001016,0.9
5B14002041,5B12002642,0.7
5B13001212,5B13001214,0.9
6118002486,6118002481,0.9
5B14002041,5B12002642,0.7
6116002780,6116002788,0.9
6111002031,6111001031,0.8
6116002342,6116002343,0.9
6118001649,6118001640,0.9
5A23001927,5A27001928,0.8
5A90003003,5A27002007,0.6
5A22000303,5A29000303,0.8
6111000084,6111000686,0.8
6116000755,6116000751,0.9
5B12003668,5B12003067,0.8
6111001774,6111001721,0.8
5A29001212,5A29001253,0.8
6118002385,6118002382,0.9
6118001745,6118001742,0.9
