team,village_id,week_end_date,tablet_serials_count,tablet_serials
CCI,2,2018-05-11,8,"['5A27000451', '5A28000099', '6111000452', '6116001058', '6116001610', '6116001740', '6118002340', '6118003106']"
CCI,5,2018-05-11,5,"['5A27001898', '5A29000537', '6111001721', '6116001133', '6116002084']"
CCI,9,2018-05-11,2,"['6111000686', '6114000019']"
CCI,11,2018-05-11,10,"['5A22001043', '5A27001321', '5A27001469', '5B20001223', '6112000215', '6115000632', '6116000929', '6116001890', '6118002664', '6118002769']"
CCI,21,2018-05-11,13,"['5A27001899', '5A29000563', '5A29000819', '6111001345', '6111001756', '6111002153', '6115001213', '6115002313', '6116001684', '6118001640', '6118002219', '6118002611', '6130000069']"
CCI,23,2018-05-11,1,['6115002385']
CCI,25,2018-05-11,10,"['6111001604', '6111001831', '6113000458', '6116001595', '6116002023', '6118001950', '6118002053', '6118002382', '6118002725', '6118003000']"
CCI,27,2018-05-11,13,"['5A27000732', '5A27001949', '5A28002402', '5A29000303', '5B13001214', '5B20001568', '6111001623', '6115000612', '6115002141', '6118002004', '6118002787', '6127001508', '6129002323']"
CCI,2,2018-05-18,17,"['5A28000099', '5B12002783', '5C02001438', '5C03001499', '6111000203', '6111000452', '6115001102', '6115001185', '6116001058', '6116001281', '6116001610', '6116001740', '6118002340', '6118002671', '6118003106', '6129001982', '6130000104']"
CCI,3,2018-05-18,18,"['5A22000813', '5A27001608', '5B20000510', '6111001044', '6113001033', '6115001184', '6115001588', '6116001005', '6116001628', '6116001728', '6118001650', '6118002167', '6118002206', '6118002223', '6118002634', '6118003327', '6128000853', '6129000520']"
CCI,5,2018-05-18,6,"['5A27001898', '6111000632', '6111001721', '6116001133', '6116002084', '6129001126']"
CCI,6,2018-05-18,20,"['5A23002106', '5A27001717', '5A28000270', '5A28002569', '5A29001404', '5B13001290', '6111000689', '6111001083', '6111001664', '6111001915', '6114000169', '6115002433', '6116001670', '6116001741', '6116002595', '6118002294', '6118002873', '6118002991', '6129001322', '6130000190']"
CCI,8,2018-05-18,9,"['5A23002184', '5B12002617', '5B12004708', '5B13001460', '6115001576', '6116001347', '6125001295', '6129001167', '6129001213']"
CCI,9,2018-05-18,6,"['6111001107', '6111001871', '6116001218', '6116001382', '6116002357', '6118003170']"
CCI,11,2018-05-18,11,"['5A27001321', '5A29000603', '5B13002318', '5B20001223', '6116000901', '6116000929', '6116001804', '6116001817', '6118001735', '6118002664', '6118002769']"
CCI,12,2018-05-18,5,"['5A27001261', '6115001181', '6116000919', '6116001434', '6116002077']"
CCI,13,2018-05-18,15,"['5A27000666', '5A28000816', '5A29001253', '5A29001355', '5C02000059', '6115000530', '6115001093', '6115001493', '6115002272', '6116000782', '6116000840', '6116000977', '6116001266', '6116002131', '6129001946']"
CCI,14,2018-05-18,12,"['5A23002523', '5A27001520', '5A27002025', '5A28000367', '5B20001393', '6111001154', '6111001829', '6116000808', '6116002302', '6116002555', '6118002481', '6118002737']"
CCI,15,2018-05-18,16,"['5A27001498', '5A27001942', '5A28000828', '5B20001016', '6111000532', '6111000637', '6111001700', '6111002108', '6115000424', '6115000468', '6116001087', '6116002646', '6118001750', '6118002184', '6118002662', '6118003276']"
