team,village_id,week_end_date,tablet_serials_count,tablet_serials
CCI,1,2018-11-09,4,"['5A27001478', '6111001751', '6116002203', '6118002751']"
CCI,3,2018-11-09,5,"['5A27001608', '5C07001011', '6111000234', '6115000493', '6118003253']"
CCI,5,2018-11-09,3,"['5A27001898', '5A29000537', '6111001721']"
CCI,6,2018-11-09,6,"['5A27001708', '5A27001717', '6111001664', '6115002433', '6118002294', '6118003604']"
CCI,7,2018-11-09,5,"['5A28000951', '5B20001195', '6111000162', '6116001714', '6118003345']"
CCI,9,2018-11-09,2,"['6116002691', '6118002766']"
CCI,10,2018-11-09,3,"['5A23002712', '5A27001155', '6116001578']"
CCI,11,2018-11-09,8,"['5A27001321', '5A27001469', '5A29000603', '5B13002318', '6116001804', '6118001735', '6118002664', '6118002769']"
CCI,13,2018-11-09,3,"['6115001093', '6118003011', '6129001946']"
CCI,14,2018-11-09,4,"['6116000808', '6118001669', '6118002481', '6118002737']"
CCI,15,2018-11-09,8,"['5A27001431', '5B13001814', '6111001700', '6115000468', '6116001106', '6118002662', '6118003276', '6129002119']"
CCI,16,2018-11-09,5,"['5A28000139', '6115001580', '6116001388', '6116001467', '6128000920']"
CCI,17,2018-11-09,5,"['5A28000396', '5B12003784', '6116002234', '6129001326', '6129002208']"
CCI,18,2018-11-09,9,"['5A22000053', '5A23002623', '5A27001510', '5A27001778', '5A27001827', '6111001325', '6116000882', '6129001080', '6129001155']"
CCI,19,2018-11-09,4,"['6116001119', '6116001501', '6118001917', '6118003041']"
CCI,20,2018-11-09,3,"['5A23002376', '6111001876', '6129001193']"
CCI,21,2018-11-09,5,"['6111000346', '6111001345', '6111001812', '6115002313', '6116002382']"
CCI,24,2018-11-09,1,['6111001694']
CCI,25,2018-11-09,5,"['5A27000580', '6113000458', '6116001980', '6116001985', '6118002725']"
CCI,26,2018-11-09,2,"['5B20001241', '6116001029']"
CCI,27,2018-11-09,2,"['6116002178', '6118002180']"
CCI,28,2018-11-09,1,['6114000029']
