tablet_serial,storybook_id,start_time,end_time
5A22000462,21,947206282,
5A22000462,31,947206623,
5A22000462,11,947282685,
5A27000657,7,949127463,
5A27000657,73,949127896,
5A27000657,12,949128331,
5A27000657,30,949128736,
5A27000657,33,949129215,
5A27000657,39,949129586,
5A27000657,40,949165101,
5A27000657,57,949385354,
5A27000657,14,949386130,
5A27000657,42,949387505,
6116002091,43,946995054,
6116002179,65,947589136,
6116002179,6,948441917,
6116002179,21,948443431,
6116002179,31,948443634,
6116002179,11,948443857,
6116002179,22,948444025,
6116002179,41,948444260,
6116002179,43,948444462,
6116002179,71,948444683,
6116002179,74,948451765,
6116002179,14,951999896,
6116002179,17,952342690,
