serial_number,closest_match,closest_match_percentage
5A27000459,5A27000457,0.9
5A27000478,5A27000471,0.9
5A27000554,5A27000559,0.9
5A27000657,5A27000651,0.9
5A27000801,5A27000805,0.9
5A27001337,5A27001330,0.9
5A27001395,5A27001398,0.9
5A27001419,5A27001416,0.9
5A27001483,5A27001485,0.9
5A27001530,5A27001538,0.9
5A27001765,5A27001762,0.9
5A27001796,5A27001746,0.8
5A27001825,5A27001822,0.9
5A27001891,5A27001899,0.9
5A27002080,5A27002014,0.8
5A27002171,5A27002165,0.8
5A28000182,5A28000194,0.8
5A28000332,5A28000335,0.9
5A28000347,5A28000346,0.9
5A28000685,5A29000683,0.8
5A28000969,5A28000924,0.8
5A28001033,5A28001055,0.8
5A28001170,5A28001174,0.9
5A28002064,5A28001065,0.8
5A28002591,5A28002196,0.8
5A29000767,5A29000560,0.8
5A29001450,5A29001468,0.8
5B12003436,5B12003456,0.8
5B13001085,5B13001021,0.8
5B13001232,5B13001533,0.8
5B13001505,5B13001502,0.9
5B20001217,5B20001117,0.8
5B20001369,5B20001363,0.9
5B20002005,5B20002013,0.8
5B20002011,5B20002013,0.9
5B20002263,5B20002248,0.8
6109000540,6109000647,0.8
6111001096,6111001097,0.9
6111001716,6111000711,0.8
6111001762,6111001761,0.9
6111001783,6111001784,0.9
6111001893,6111001892,0.9
6112001529,6116001527,0.8
6113000008,6114000004,0.8
6113000238,6113000230,0.9
6113000738,6111000734,0.8
6113001068,6113001036,0.8
6115000386,6115000382,0.9
6115000561,6115000567,0.9
6115001201,6115001203,0.9
6115002391,6115002395,0.9
6116000778,6116000776,0.9
6116000805,6116000804,0.9
6116000842,6116000843,0.9
6116001019,6116001015,0.9
6116001126,6116001129,0.9
6116001278,6115001278,0.8
6116001375,6116001370,0.9
6116001657,6116001652,0.9
6116001847,6116001848,0.9
6116002079,6116002071,0.9
6116002187,6116002184,0.9
6116002209,6116002202,0.9
6116002596,6116002195,0.8
6116002599,6116002195,0.8
6116002652,6116002654,0.9
6116002671,6116002675,0.9
6116002824,6116002828,0.9
6118001508,6118001509,0.9
6118002285,6118002284,0.9
6118002643,6118002640,0.9
6118002898,6118002894,0.9
6118002946,6118002995,0.8
6118002959,6118002958,0.9
6118002996,6118002995,0.9
6118003009,6118003003,0.9
6118003199,6118003195,0.9
6118003298,6118003299,0.9
6126000507,6126000209,0.8
6129001664,6129000660,0.8
6130000243,6130000245,0.9
