serial_number,closest_match,closest_match_percentage
5A21001028,5A27001925,0.7
5A21001111,5A28001119,0.8
5A22000658,5A27000654,0.8
5A22000659,5A27000654,0.8
5A22000881,5A28000885,0.8
5A22001062,5A22001064,0.9
5A23001515,5A23001522,0.8
5A23002107,5A23002191,0.8
5A23002586,5A23002589,0.9
5A23002696,5A23002686,0.8
5A23002785,5A23002711,0.8
5A27000229,5A27000221,0.9
5A27000413,5A27000415,0.9
5A27000475,5A27000471,0.9
5A27000588,5A27000589,0.9
5A27000662,5A27000676,0.8
5A27000687,5A27000680,0.9
5A27001219,5A27001210,0.9
5A27001330,5A27001337,0.9
5A27001485,5A27001483,0.9
5A27001537,5A27001530,0.9
5A27001547,5A27001545,0.9
5A27001582,5A27001504,0.8
5A27001618,5A27001613,0.9
5A27001630,5A27001684,0.8
5A27001639,5A27001684,0.8
5A27001660,5A27001666,0.9
5A27001819,5A27001802,0.8
5A27001820,5A27001822,0.9
5A27001859,5A27001452,0.8
5A27001898,5A27001899,0.9
5A27001902,5A27001901,0.9
5A27001997,5A27001991,0.9
5A27002014,5A27002010,0.9
5A27002234,5A28002238,0.8
5A28000067,5A28000063,0.9
5A28000298,5A28000296,0.9
5A28000350,5A28000351,0.9
5A28000370,5A28000076,0.8
5A28001242,5A28001240,0.9
5A28001295,5A28001239,0.8
5A28001732,5A28001737,0.9
5A28001846,5A28001892,0.8
5A28001846,5A28001892,0.8
5A28002150,5A28002158,0.9
5A28002276,5A28002272,0.9
5A28002331,5A28002238,0.8
5A28002358,5A28002557,0.8
5A28002445,5A28002440,0.9
5A28002602,5A28002601,0.9
5A29000445,5A29000544,0.8
5A29000580,5A29000544,0.8
5A29000810,5A27000814,0.8
5A29000831,5A29000636,0.8
5A29000867,5A22000868,0.8
5A29001306,5A29001303,0.9
5A29001350,5A29001354,0.9
5A29001356,5A29001354,0.9
5A29001419,5A29001415,0.9
5A29001488,5A29001487,0.9
5B04000012,5B04000014,0.9
5B12002824,5B12002883,0.8
5B12002892,5B12002883,0.8
5B12004766,5B12004736,0.8
5B13001202,5B13001203,0.9
5B13001962,5B13001263,0.8
5B13002064,5B13002368,0.8
