team,village_id,week_end_date,tablet_serials_count,tablet_serials
CHIMPLE,29,2019-01-18,12,"['5A23001580', '5A27000600', '5A27001390', '5A28001898', '5C03000328', '6111001097', '6116001805', '6116002652', '6118001589', '6118001764', '6118003513', '6126000252']"
CHIMPLE,30,2019-01-18,4,"['5A29001354', '5A29001382', '6118002989', '6126000735']"
CHIMPLE,31,2019-01-18,2,"['5B20001289', '6111002047']"
CHIMPLE,32,2019-01-18,6,"['5A27001652', '5A27001907', '6115001234', '6118002106', '6118002689', '6118002838']"
CHIMPLE,34,2019-01-18,2,"['6111001855', '6118003400']"
CHIMPLE,35,2019-01-18,1,['6129002307']
CHIMPLE,36,2019-01-18,5,"['5B20002013', '6109001476', '6115001358', '6116001479', '6116001493']"
CHIMPLE,37,2019-01-18,4,"['5A29000538', '6109000901', '6111001802', '6118003594']"
CHIMPLE,38,2019-01-18,5,"['5B12003069', '5B20001133', '5B20001304', '6116001592', '6116002314']"
CHIMPLE,40,2019-01-18,6,"['5A23002589', '5A27002016', '6111000929', '6112001270', '6116001770', '6118001574']"
CHIMPLE,41,2019-01-18,4,"['5A27001416', '5B12003105', '6116001036', '6129001885']"
CHIMPLE,42,2019-01-18,11,"['5A22001012', '5A27000526', '5A29001401', '5B13002216', '6111000647', '6112001107', '6115001829', '6118002318', '6118002648', '6118002741', '6118002912']"
CHIMPLE,43,2019-01-18,9,"['5A23002191', '5B13001053', '6116001045', '6116001647', '6116001956', '6118001711', '6118003128', '6118003145', '6130000110']"
CHIMPLE,44,2019-01-18,1,['6116002530']
CHIMPLE,45,2019-01-18,5,"['5A28000296', '5A28001737', '5B23001012', '6116002789', '6118002379']"
CHIMPLE,47,2019-01-18,7,"['5B13001119', '5B13001148', '6116000852', '6116002802', '6118001705', '6118002420', '6118003131']"
CHIMPLE,49,2019-01-18,5,"['5A28001139', '5B20001159', '5B20001410', '6111001658', '6116002150']"
CHIMPLE,50,2019-01-18,5,"['5A28002559', '5B12003580', '5B13000759', '6116001067', '6116002049']"
CHIMPLE,51,2019-01-18,4,"['5A27001560', '5C01001557', '6115001617', '6116001455']"
CHIMPLE,52,2019-01-18,5,"['6115001195', '6116001213', '6116001929', '6116002841', '6118002263']"
CHIMPLE,53,2019-01-18,3,"['5A27001196', '5A29000335', '5B23001060']"
CHIMPLE,54,2019-01-18,3,"['6116000796', '6116000947', '6116001329']"
CHIMPLE,56,2019-01-18,1,['5B13002111']
