team,village_id,week_end_date,tablet_serials
CHIMPLE,50,2019-02-08,"['5A27002127', '5B13002447']"
CHIMPLE,32,2019-02-08,"['6129001334', '5A29000739', '6118002106', '5B20001409', '5B14002041', '5A27001907', '6116002824', '6116002500']"
CHIMPLE,35,2019-02-08,"['5A27000864', '6116001671', '6129002307', '6116002807', '5A28000335']"
CHIMPLE,56,2019-02-08,['5B13002111']
CHIMPLE,51,2019-02-08,"['6116001169', '5C01001557', '5A27001560']"
CHIMPLE,34,2019-02-08,"['5B20001321', '6111001855', '6111001066', '6116002195', '6116002754', '6118003400', '6118001932']"
CHIMPLE,33,2019-02-08,['6111002030']
CHIMPLE,142,2019-02-08,['5B19000945']
CHIMPLE,29,2019-02-08,"['6118001764', '6116001424', '6116001805', '5A27001390']"
CHIMPLE,42,2019-02-08,"['5A22000679', '6112001107', '6116002079', '5A29001401', '6118002318', '5B13002216']"
CHIMPLE,45,2019-02-08,"['5A27001891', '5A27000459', '5B23001012', '6116002653']"
CHIMPLE,43,2019-02-08,"['6116001956', '6116001045', '6116001647', '6116001433', '5B13001203', '6116002739', '6118002448', '6118003145']"
CHIMPLE,36,2019-02-08,"['5B20002013', '6116001493', '6116001034', '5B12003328', '6113000632', '6116001479']"
CHIMPLE,53,2019-02-08,"['5A29000335', '6126000165']"
CHIMPLE,30,2019-02-08,"['6118002162', '6116001554', '6116001338', '6126000735', '5A28002620', '6112001529']"
CHIMPLE,37,2019-02-08,"['6113001540', '6116001560', '6118003534']"
CHIMPLE,39,2019-02-08,"['5B12002649', '5A22000863', '6116002855']"
CHIMPLE,52,2019-02-08,"['6116001072', '6118002263', '6116001929', '5A29001411', '6115001195', '5B12003436']"
CHIMPLE,41,2019-02-08,"['5B12002960', '6118003299', '6118002986', '5A28000329', '6111002095']"
CHIMPLE,48,2019-02-08,"['6116002349', '5B16000105', '6118002954', '5A27001436', '5C03001014', '5B13002430', '6118003053', '5B20001363']"
CHIMPLE,49,2019-02-08,"['5B12003089', '6118003165', '5B20001410', '6111001734', '6111001658']"
CHIMPLE,40,2019-02-08,"['6111000929', '6116001343', '6116001439']"
CHIMPLE,47,2019-02-08,"['6118002420', '6118002231', '5B12004753', '6116000852', '5B13001119', '6118001601']"
