tablet_serial,storybook_id,start_time,end_time
5A21000494,903,947393874,
5A21000494,903,947393884,
5A21000494,907,947394012,
5A21000494,505,947394042,
5A21000494,404,947394172,
5A21000494,a,947649129,
5A21001111,118,946946486,
5A21001111,108,946946689,
5A21001111,110,946946747,
5A21001111,111,946946778,
5A21001111,310,946946822,
5A21001111,505,946946877,
5A21001111,211,946947098,
5A21001111,206,946947157,
5A21001111,902,946947226,
5A21001111,918,946947241,
5A21001111,910,946947296,
5A21001111,105,946960336,
5A21001111,103,946960376,
5A21001111,103,946960390,
5A21001111,d,946960422,
5A21001111,a,946960451,
5A21001111,b,946960477,
5A21001111,ch,946960502,
5A21001111,d,946960525,
5A21001111,e,946960553,
5A21001111,f,946960575,
5A21001111,g,946960611,
5A21001111,h,947001295,
5A21001111,i,947001327,
5A21001111,j,947001350,
5A21001111,k,947001377,
5A21001111,l,947001404,
5A21001111,m,947001428,
5A21001111,n,947001452,
5A21001111,n,947001460,
5A21001111,o,947001479,
5A21001111,p,947001520,
5A21001111,r,947001542,
5A21001111,s,947001566,
5A21001111,t,947001608,
5A21001111,u,947001635,
5A21001111,502,947006499,
5A21001111,505,947006642,
5A21001111,dh,947107210,
5A21001111,401,947107242,
5A21001111,402,947107326,
5A21001111,503,947107432,
5A21001111,502,947108567,
5A21001111,501,947108717,
5A21001111,407,947108914,
5A21001111,406,947109043,
5A21001111,306,947109168,
5A21001111,309,947109246,
5A21001111,308,947109309,
5A21001111,305,947109376,
5A21001111,209,947109430,
5A21001111,505,947114214,
5A21001111,502,947114365,
5A21001111,506,947114542,
5A21001111,505,947122173,
5A21001111,921,947122314,
5A21001111,920,947122322,
5A21001111,a,947219016,
5A21001111,b,947219043,
5A21001111,ch,947219067,
5A21001111,d,947219090,
5A21001111,e,947219115,
5A21001111,f,947219138,
5A21001111,g,947219162,
5A21001111,505,947221161,
5A21001111,907,947221331,
5A21001111,502,947221351,
5A21001111,502,947221375,
5A21001111,504,947221494,
5A21001111,401,947221638,
5A21001111,101,947221652,
5A21001111,102,947221737,
5A21001111,103,948090798,
5A21001111,204,948090835,
5A21001111,206,948090887,
5A22000082,a,947017715,
5A22000082,b,947017795,
5A22000082,ch,947017867,
5A22000082,d,947017956,
5A22000082,e,947018012,
5A22000082,g,947018060,
5A22000082,104,947018102,
5A22000082,105,947018217,
5A22000082,101,947018285,
5A22000082,102,947018327,
5A22000082,103,947018369,
5A22000082,104,947018416,
5A22000082,106,947018495,
5A22000082,107,947018553,
5A22000082,201,947018607,
5A22000082,202,947018654,
5A22000082,203,947018699,
5A22000082,403,947018823,
5A22000082,301,947031474,
5A22000082,402,947031503,
5A22000082,r,947031735,
5A22000082,o,947031807,
5A22000082,903,947033204,
5A22000082,104,947097448,
5A22000082,105,947097483,
5A22000082,104,947097543,
5A22000082,104,947097637,
5A22000082,103,947097699,
5A22000082,103,947097747,
5A22000082,106,947097796,
5A22000082,404,947097859,
5A22000082,301,947097947,
5A22000082,501,947098007,
5A22000082,402,947098754,
5A22000082,403,947098908,
5A22000082,906,947098979,
5A22000082,406,947099005,
5A22000082,407,947099122,
5A22000082,401,947099267,
5A22000082,301,947099441,
5A22000082,104,947285984,
5A22000082,a,947286001,
5A22000082,a,947286053,
5A22000082,a,947286080,
5A22000082,g,947286144,
5A22000082,a,947286807,
5A22000082,103,947436707,
5A22000407,404,1484399271,
5A22000407,306,1484399448,
5A22000407,406,1484399468,
5A22000407,202,1484399693,
5A22000407,303,1484399775,
5A22000407,304,1484399883,
5A22000407,304,1484399901,
5A22000407,304,1484399966,
5A22000407,104,1484399982,
5A22000407,206,1484400345,
5A22000407,506,1484400388,
5A22000407,111,1484467640,
5A22000407,501,1484467738,
5A22000407,404,1484468140,
5A22000407,303,1484468321,
5A22000407,307,1484468391,
5A22000407,206,1484468404,
5A22000407,206,1484468490,
5A22000407,905,1484468507,
5A22000407,302,1484468527,
5A22000407,306,1484468555,
5A22000407,907,1484468637,
5A22000407,403,1484468661,
5A22000407,501,1484468675,
5A22000407,306,1484468701,
5A22000407,402,1484468741,
5A22000407,406,1484468760,
5A22000407,104,1484475279,
5A22000407,104,1484475411,
5A22000407,204,1484476141,
5A22000407,ng,1484476236,
5A22000407,205,1484476307,
5A22000407,204,1484476364,
5A22000407,203,1484476471,
5A22000407,111,1484476525,
5A22000407,111,1484476608,
5A22000407,109,1484476722,
5A22000407,206,1484476768,
5A22000407,110,1484476901,
5A22000407,203,1484487674,
5A22000407,202,1484487674,
5A22000407,203,1484487699,
5A22000407,205,1484487711,
5A22000407,203,1484487727,
5A22000407,307,1484487829,
5A22000407,301,1484487841,
5A22000407,304,1484487857,
5A22000407,404,1484549429,
5A22000407,304,1484549605,
5A22000407,302,1484549767,
5A22000407,406,1484549780,
5A22000407,202,1484549914,
5A22000407,506,1484549977,
5A22000407,205,1484550333,
5A22000407,210,1484550358,
5A22000407,501,1484550439,
5A22000407,208,1484550455,
5A22000407,208,1484550473,
5A22000407,106,1484550482,
5A22000407,302,1484550503,
5A22000407,307,1484550515,
5A22000407,302,1484550528,
5A22000407,407,1484550543,
5A22000407,306,1484550580,
5A22000407,306,1484550667,
5A22000407,303,1484550674,
5A22000407,206,1484550755,
5A22000407,208,1484550845,
5A22000407,402,1484550861,
5A22000407,402,1484550871,
5A22000407,307,1484550877,
5A22000407,301,1484550980,
5A22000407,302,1484550990,
5A22000407,402,1484551046,
5A22000407,401,1484551139,
5A22000407,202,1484552982,
5A22000407,202,1484552995,
5A22000407,206,1484553030,
5A22000407,203,1484553100,
5A22000407,204,1484553152,
5A22000407,205,1484553193,
5A22000407,205,1484553201,
