serial_number,closest_match,closest_match_percentage
5A22000446,5A22000440,0.9
5A23002820,5A23002888,0.8
5A27000413,5A27000417,0.9
5A27001337,5A27001336,0.9
5A27001497,5A27001495,0.9
5A27001518,5A27001543,0.8
5A27001598,5A27001599,0.9
5A27001613,5A27001617,0.9
5A27001667,5A27001661,0.9
5A27001753,5A27001733,0.8
5A29000767,5A29000774,0.8
5B12002649,5B12002698,0.8
5B13001544,5B13001506,0.8
5B16001020,5B13001026,0.8
5B20001253,5B20001230,0.8
5B20001355,5B20001354,0.9
5B20002370,5B20002371,0.9
5B23001036,5B23001012,0.8
6111001864,6111001963,0.8
6113001057,6113001036,0.8
6113001658,6116001650,0.8
6114000045,6114000046,0.9
6115001416,6115001455,0.8
6115001428,6115001421,0.9
6116000751,6116000752,0.9
6116000995,6116000996,0.9
6116001213,6116001215,0.9
6116001493,6116001492,0.9
6116001526,6116001520,0.9
6116001661,6116001665,0.9
6116001765,6116001769,0.9
6116001780,6116001781,0.9
6116001841,6116001541,0.8
6116001918,6116001919,0.9
6116002501,6116002546,0.8
6116002515,6116002510,0.9
6116002699,6116002695,0.9
6116002712,6116002714,0.9
6116002734,6116002737,0.9
6118001570,6118001879,0.8
6118001677,6118001673,0.9
6118002177,6118002178,0.9
6118002226,6118002229,0.9
6118002285,6118002284,0.9
6118002402,6118002409,0.9
6118002916,6118002910,0.9
6118002931,6118002936,0.9
6118003284,6118003256,0.8
