serial_number,closest_match,closest_match_percentage
5A20001200,5B20001200,0.8
5A22000758,5A22000753,0.9
5A23002744,5A23002740,0.9
5A27001327,5A27001929,0.8
5A27001392,5A27001891,0.8
5A27001575,5A27001574,0.9
5A27001825,5A27001891,0.8
5A27002228,5A27002127,0.8
5A27003457,5A27001402,0.7
5A28001033,5A28001044,0.8
5A28001033,5A28001044,0.8
5A28002101,5A28002152,0.8
5A28002150,5A28002152,0.9
5A29000606,5A29000626,0.8
5A29001404,5A27001402,0.8
5B20001240,5B20001213,0.8
5B20001363,5B20001365,0.9
5B20001858,5B20001354,0.8
5B20002006,5B20002002,0.9
5C01001077,5C02001252,0.6
6109100137,6109000137,0.8
6111000711,6111000712,0.9
6111000806,6111001805,0.8
6111001754,6111001752,0.9
6111001912,6111001715,0.8
6111002285,6111002085,0.8
6111002515,6111002018,0.8
6115000467,6115000469,0.9
6115000602,6115000901,0.8
6115001261,6115001466,0.8
6116000166,6116002166,0.8
6116001432,6116001439,0.9
6116001438,6116001439,0.9
6116001671,6116001678,0.9
6116001673,6116001678,0.9
6116001739,6116001736,0.9
6116001767,6116001769,0.9
6116001981,6116001985,0.9
6116002064,6116002060,0.9
6116002085,6116002089,0.9
6116002140,6116002143,0.9
6116002452,6116002451,0.9
6118001511,6118001519,0.9
6118001534,6118001739,0.8
6118002403,6118002402,0.9
6118002601,6118002602,0.9
6118002735,6118002731,0.9
6118002870,6118002178,0.8
6118002911,6118002914,0.9
6118002917,6118002914,0.9
6118003089,6118003082,0.9
6118003193,6118003192,0.9
6118003196,6118003192,0.9
6118003210,6118003217,0.9
