Child ID,Village ID,Serial #1,Serial #2,Date #2,Serial #3,Date #3,Serial #4,Date #4,Serial #5,Date #5,Serial #6,Date #6,Serial #7,Date #7,Serial #8,Date #8,Serial #9,Date #9,Serial #10,Date #10,Serial #11,Date #11,Serial #12,Date #12,Serial #13,Date #13,Serial #14,Date #14
AMGWMW,57,6116001432,5A27001733,2017-12-20,5A23002589,,6116002093,2018-05-25,6116001558,2018-11-03,,,,,,,,,,,,,,,,,,
NVUMFF,57,6116001476,5A23001564,2018-05-25,5A28002606,2018-11-03,,,,,,,,,,,,,,,,,,,,,,
TMKEUZ,57,6111000084,6116001586,2018-01-17,6118002327,2018-05-25,6118003124,2018-11-03,,,,,,,,,,,,,,,,,,,,
VZXHZP,57,5A28000388,,,,,,,,,,,,,,,,,,,,,,,,,,
SSZHYQ,57,5A27001661,6115000540,2018-05-25,6116002428,2018-09-26,6111001089,2018-11-03,,,,,,,,,,,,,,,,,,,,
,57,5A27001487,,,,,,,,,,,,,,,,,,,,,,,,,,
UBWXCQ,57,6111000190,,,,,,,,,,,,,,,,,,,,,,,,,,
,57,6129001061,,,,,,,,,,,,,,,,,,,,,,,,,,
BERRWA,57,6116002258,6116002162,2018-05-25,6129002320,2018-11-03,,,,,,,,,,,,,,,,,,,,,,
KUKYGP,57,5A28001127,,,,,,,,,,,,,,,,,,,,,,,,,,
QMCSRA,57,6116002546,6111001905,2018-05-25,6116002428,2018-07-04,5B20002283,2018-11-03,,,,,,,,,,,,,,,,,,,,
SPARE,57,5A27001733,6116001964,2018-02-20,6116002428,2018-05-25,6116001383,2018-11-03,,,,,,,,,,,,,,,,,,,,
QCPETK,58,6116002251,6114000052,2018-05-25,5A27000550,2018-11-03,,,,,,,,,,,,,,,,,,,,,,
FWATTW,58,6116001232,6116002769,2018-05-25,6116002168,2018-11-03,,,,,,,,,,,,,,,,,,,,,,
GVYHHE,58,5A23002696,,,,,,,,,,,,,,,,,,,,,,,,,,
EZKWPW,58,5C02001252,6116002315,2018-05-25,6116002411,2018-11-03,,,,,,,,,,,,,,,,,,,,,,
XYEPAS,58,5A28002483,6112001352,2018-05-25,5B13001127,2018-11-03,,,,,,,,,,,,,,,,,,,,,,
QEWXPP,58,5A23001547,5A29001287,2018-05-25,5B13000717,2018-11-03,,,,,,,,,,,,,,,,,,,,,,
BYTHXP,58,6116001919,6111001715,2018-04-03,6118002409,2018-05-25,6118002560,2018-11-03,,,,,,,,,,,,,,,,,,,,
MMUVRQ,58,6116000837,5A27001543,2018-05-25,6129001151,2018-11-03,,,,,,,,,,,,,,,,,,,,,,
MCMPVS,58,5A22001065,5B12003436,2018-04-11,5B13001136,2018-05-25,5B20002321,2018-11-03,,,,,,,,,,,,,,,,,,,,
CECZBZ,58,6116001116,6116001536,2018-05-25,6116001352,2018-11-03,5A28002564,2018-11-28,,,,,,,,,,,,,,,,,,,,
STUCHH,58,5A23002791,5B13002415,2018-05-25,6111001501,2018-11-03,,,,,,,,,,,,,,,,,,,,,,
XMWMYS,58,6127002728,6116000166,2018-05-25,6113002162,2018-11-03,,,,,,,,,,,,,,,,,,,,,,
MMMBMQ,58,6115000901,6118003256,2018-05-25,6118001879,2018-06-27,5A27000788,2018-11-03,,,,,,,,,,,,,,,,,,,,
