# 데이터를 변경하려면:					
#     우선 Google Spreadsheet상에서 이 파일을 수정한 후에					
#     File > Download as > Tab-separated values (.tsv) 를 선택합니다.					
#     다운로드한 파일 이름을 library_video_data.tsv 으로 변경합니다.					
#     테스트할 기기의 Movies/Library에 tsv 파일과 thumbnail, 동영상파일을 복사해 넣습니다.					
#          Category field는 코드에서 사용하는 부분이기 때문에 한번 추가 되면 변경하지 마시고 categoryname을 변경해주시기 바랍니다					
#id	category	categoryname	title	thumbnail	filename
tutorial1	tutorial	Namna ya kutumia shule ya Kitkit	Karibu Kitkit Shule	sw_welcome.png	sw_vdo_tut_welcome.mp4
tutorial2	tutorial	Namna ya kutumia shule ya Kitkit	Namna ya kutumia tabuleti	tutorial1.png	sw_vdo_tut_tablet.mp4
tutorial3	tutorial	Namna ya kutumia shule ya Kitkit	Namna ya kutunza tabuleti	tutorial2.png	sw_vdo_tut_care.mp4
tutorial4	tutorial	Namna ya kutumia shule ya Kitkit	Namna ya kuchaji tabuleti	tutorial3.png	sw_vdo_tut_charge.mp4
tutorial5	tutorial	Namna ya kutumia shule ya Kitkit	Namna ya kutumia tabuleti darasani	tutorial4.png	sw_vdo_tut_class.mp4
tutorial6	tutorial	Namna ya kutumia shule ya Kitkit	Kupitia mchezo wa shule ya Kitkit	logo_sw.png	sw_vdo_tut_gameplay2.mp4
tutorial7	tutorial	Namna ya kutumia shule ya Kitkit	Namna ya kutumia kitabu cha kielektroniki	tutorial6.png	sw_vdo_tut_book.mp4
tutorial8	tutorial	Namna ya kutumia shule ya Kitkit	Namna ya kutumia vifaa	tutorial7.png	sw_vdo_tut_tools.mp4
tutorial9	tutorial	Namna ya kutumia shule ya Kitkit	Namna ya kutumia maktaba	tutorial8.png	sw_vdo_tut_library.mp4
mv1	music_video	Nyimbo za mafunzo	Maumbo ya rangi	shapes.png	sw_vdo_shapes.mp4
mv2	music_video	Nyimbo za mafunzo	Vifaranga 100	100chickens.png	sw_vdo_100chickens.mp4
mv3	music_video	Nyimbo za mafunzo	Wimbo wa herufi kuu	vowels.png	sw_vdo_vowel.mp4
mv4	music_video	Nyimbo za mafunzo	Najua kuhesabu namba	count10.png	sw_vdo_count10.mp4
mv5	music_video	Nyimbo za mafunzo	Wimbo wa Herufi	abc.png	sw_vdo_abc.mp4
mv6	music_video	Nyimbo za mafunzo	Nyosha Vidole Vitano!	ubcount5.png	sw_vdo_ub_count5.mp4
mv7	music_video	Nyimbo za mafunzo	Hesabu Vidole Kumi	ubcount10.png	sw_vdo_ub_count10.mp4
mv8	music_video	Nyimbo za mafunzo	Hesabu na Mamba!	ubcroc10.png	sw_vdo_ub_croc10.mp4a
mv9	music_video	Nyimbo za mafunzo	Treni ya Namba	ubtrain10.png	sw_vdo_ub_train10.mp4a
mv10	music_video	Nyimbo za mafunzo	Moja mpaka ishirini!	ubtruck20.png	sw_vdo_ub_truck20.mp4
mv11	music_video	Nyimbo za mafunzo	Vyura ya Hesabu	sw_vdo_ub_addsub.png	sw_vdo_ub_addsub.mp4
mv2_1	music_video_2	Nyimbo za mafunzo 2	Kujumlisha na Kutoa	sw_vdo_ub_fifteen_1.png	sw_vdo_ub_fifteen_1.mp4
mv2_2	music_video_2	Nyimbo za mafunzo 2	Iliyojaa, Ujazo Nusu na Tupu	sw_vdo_ub_fifteen_2.png	sw_vdo_ub_fifteen_2.mp4
mv2_3	music_video_2	Nyimbo za mafunzo 2	Namba Kamili	sw_vdo_ub_fifteen_3.png	sw_vdo_ub_fifteen_3.mp4
mv2_4	music_video_2	Nyimbo za mafunzo 2	Shughuli za Kila Siku	sw_vdo_ub_fifteen_4.png	sw_vdo_ub_fifteen_4.mp4
mv2_5	music_video_2	Nyimbo za mafunzo 2	Siku za Juma	sw_vdo_ub_fifteen_5.png	sw_vdo_ub_fifteen_5.mp4
mv2_6	music_video_2	Nyimbo za mafunzo 2	Miezi katika Mwaka	sw_vdo_ub_fifteen_6.png	sw_vdo_ub_fifteen_6.mp4
mv2_7	music_video_2	Nyimbo za mafunzo 2	Zaidi, Pungufu, Sawa	sw_vdo_ub_fifteen_7.png	sw_vdo_ub_fifteen_7.mp4
mv2_8	music_video_2	Nyimbo za mafunzo 2	Vinyume	sw_vdo_ub_fifteen_8.png	sw_vdo_ub_fifteen_8.mp4
mv2_9	music_video_2	Nyimbo za mafunzo 2	Sampuli na Umbo	sw_vdo_ub_fifteen_9.png	sw_vdo_ub_fifteen_9.mp4
mv2_10	music_video_2	Nyimbo za mafunzo 2	Mstari wa Namba	sw_vdo_ub_fifteen_10.png	sw_vdo_ub_fifteen_10.mp4
