serial_number,closest_match,closest_match_percentage
5A23002711,5A23002751,0.8
5A27000730,5A27000731,0.9
5A27000909,5A27000924,0.8
5A27001802,5A27001806,0.9
5A28000016,5A28000417,0.8
5A28000063,5A28001065,0.8
5A29001362,5A29001357,0.8
5B13001290,5B13001498,0.8
5B20002050,5B20002255,0.8
5B20002381,5B20002286,0.8
5C01000192,5C04000177,0.7
5C01000564,5C04000177,0.6
6109001517,6109001591,0.8
6111000738,6111000756,0.8
6111000969,6111000974,0.8
6111001065,6111001060,0.9
6111001347,6116001343,0.8
6111001392,6111001096,0.8
6111001615,6111001619,0.9
6111001757,6111000756,0.8
6111001864,6111001869,0.9
6115000433,6115000461,0.8
6115001597,6115001496,0.8
6115002170,6111002172,0.8
6116001145,6116001147,0.9
6116001176,6116001178,0.9
6116001228,6116001229,0.9
6116001401,6116001402,0.9
6116001600,6116001606,0.9
6116001983,6116001981,0.9
6116002691,6116002694,0.9
6116002775,6116002578,0.8
6118002480,6118002407,0.8
6118002670,6118002672,0.9
6118002767,6118002764,0.9
6118002869,6118002850,0.8
6118003278,6118003275,0.9
6118003568,6118003567,0.9
6126000234,6126000273,0.8
6129001189,6109001185,0.8
6130000027,6130000023,0.9
