serial_number,closest_match,closest_match_percentage
5A21000530,5A21000609,0.7
5A22000952,5A22000971,0.8
5A23001240,5A23001941,0.8
5A23001664,5A27001662,0.8
5A23002820,5A23002623,0.8
5A23002863,5A23001869,0.8
5A27000221,5A27000924,0.8
5A27000513,5A27000588,0.8
5A27000660,5A27000965,0.8
5A27000683,5A27000680,0.9
5A27000712,5A27000716,0.9
5A27000763,5A27000965,0.8
5A27000764,5A27000965,0.8
5A27000789,5A27000588,0.8
5A27001289,5A27001254,0.8
5A27001327,5A27001392,0.8
5A27001431,5A27001432,0.9
5A27001484,5A27001483,0.9
5A27001571,5A27001515,0.8
5A27001633,5A27001639,0.9
5A27001834,5A27001836,0.9
5A27001940,5A27001943,0.9
5A27002004,5A27002002,0.9
5A28000007,5A28000209,0.8
5A28000053,5A28000351,0.8
5A28000074,5A28000370,0.8
5A28000348,5A28000347,0.9
5A28000854,5A27000859,0.8
5A28000934,5A28000985,0.8
5A28001041,5A28001044,0.9
5A28001072,5A28001065,0.8
5A28001122,5A28001131,0.8
5A28001169,5A28001168,0.9
5A28001222,5A28000222,0.8
5A28001224,5A28000222,0.8
5A28001231,5A28001331,0.8
5A28001261,5A28001963,0.8
5A28002201,5A28000209,0.8
5A28002348,5A28002445,0.8
5A28002499,5A28002470,0.8
5A28002639,5A28002618,0.8
5A28002687,5A28002583,0.8
5A29000379,5A29000380,0.8
5A29000397,5A29000380,0.8
5A29000428,5A29000454,0.8
5A29000445,5A29000441,0.9
5A29000569,5A29000560,0.9
5A29000594,5A29000598,0.9
5A29000627,5A29000653,0.8
5A29000637,5A29000639,0.9
5A29001227,5A29001283,0.8
5A29001326,5A29001387,0.8
5A29001327,5A29001387,0.8
5A29001357,5A29001454,0.8
5A29001377,5A29001274,0.8
5B05001790,5B05001763,0.8
5B05002151,5B05002169,0.8
5B12003117,5B12003531,0.7
5B12004421,5B12004343,0.7
5B13000735,5B13000781,0.8
5B13000744,5B13000781,0.8
5B13000755,5B13000781,0.8
5B13000761,5B13000781,0.8
5B13000847,5B13000781,0.7
5B13000863,5B13000781,0.7
5B13000889,5B13000781,0.8
5B13001112,5B13001015,0.8
5B13001113,5B13001015,0.8
5B13001132,5B13001232,0.8
5B13001135,5B13001232,0.8
5B13001136,5B13001232,0.8
5B13001136,5B13001232,0.8
5B13001190,5B13001498,0.8
5B13001226,5B13001202,0.8
5B13001240,5B13001202,0.8
5B13001409,5B13001202,0.8
5B13001421,5B13001498,0.8
5B13001433,5B13001498,0.8
5B13001468,5B13001365,0.8
5B13001640,5B13001544,0.8
5B13001684,5B13000689,0.8
5B13001962,5B13001365,0.8
5B13002182,5B13002283,0.8
5B13002193,5B13002169,0.8
5B13002200,5B13002283,0.8
5B13002215,5B13002283,0.8
5B13002253,5B13002359,0.8
5B13002253,5B13002359,0.8
5B13002272,5B13002283,0.8
5B13002317,5B13002359,0.8
5B13002341,5B13002344,0.9
5B13002351,5B13002359,0.9
5B13002422,5B13002412,0.8
5B13002422,5B13002412,0.8
5B13002468,5B13002169,0.8
5B13002483,5B13002283,0.8
5B13002496,5B13002412,0.8
5B13002499,5B13002412,0.8
5B20001273,5B20001230,0.8
5B20001963,5B20001566,0.8
6106000655,6109000655,0.8
6108000650,6109000655,0.8
6109000645,6109000655,0.8
6109000901,6116000906,0.7
6111000144,6111002146,0.8
6111000669,6111000668,0.9
6111000669,6111000668,0.9
6111000669,6111000668,0.9
6111001005,6111002005,0.8
6111001093,6111001096,0.9
6111001557,6111001552,0.9
6111001557,6111001552,0.9
6111001680,6111001675,0.8
6111001734,6118001734,0.8
6111001769,6111001762,0.9
6111001939,6111001830,0.8
6111001950,6111001959,0.9
6111001958,6111001959,0.9
6111001963,6111001962,0.9
6111001963,6111001962,0.9
6111001994,6118001995,0.8
6111002031,6111002033,0.9
6111002041,6111002045,0.9
6111002057,6111002005,0.8
6111002070,6111002005,0.8
6111002081,6111002005,0.8
6111002127,6111002124,0.9
6111002132,6111002101,0.8
6112000003,6114000008,0.8
6112000047,6112000049,0.9
6112000060,6112001064,0.8
6112001270,6112001272,0.9
6112001273,6112001272,0.9
6112001352,6112001154,0.8
6112001360,6112001064,0.8
6112001360,6112001064,0.8
6113000656,6113000622,0.8
6113001540,6115001546,0.8
6113001540,6115001546,0.8
6114000038,6114000036,0.9
6114000050,6114000056,0.9
6114000070,6114000008,0.8
6114000126,6114000123,0.9
6114000132,6114000036,0.8
6114000576,6113000571,0.8
6114000971,6116000979,0.8
6115000393,6115000392,0.9
6115000417,6115000420,0.8
6115000418,6115000420,0.8
6115000427,6115000420,0.9
6115000469,6115000461,0.9
6115000490,6115000420,0.8
6115000493,6115000420,0.8
6115000493,6115000420,0.8
6115000497,6115000420,0.8
6115000518,6115000514,0.9
6115000558,6115000554,0.9
6115001122,6115001623,0.8
6115001204,6115001201,0.9
6115001331,6115001334,0.9
6115001371,6115001278,0.8
6115001455,6115001453,0.9
6115001496,6115001499,0.9
6115001514,6115001584,0.8
6115001539,6115001584,0.8
6115001580,6115001584,0.9
6115001639,6115001631,0.9
6115002323,6118002322,0.8
6116000776,6116000877,0.8
6116000789,6116000788,0.9
6116000819,6116000877,0.8
6116000859,6116000855,0.9
6116000867,6116000877,0.8
6116000950,6116000906,0.8
6116001030,6116001038,0.9
6116001053,6116001052,0.9
6116001055,6116001052,0.9
6116001059,6116001052,0.9
6116001101,6116001105,0.9
6116001102,6116001105,0.9
6116001150,6116001158,0.9
6116001190,6116001195,0.9
6116001211,6116001203,0.8
6116001214,6116001203,0.8
6116001221,6116001229,0.9
6116001237,6116001234,0.9
6116001263,6116001264,0.9
6116001276,6116001278,0.9
6116001303,6116001302,0.9
6116001354,6116001356,0.9
6116001402,6116001401,0.9
6116001426,6116001423,0.9
6116001439,6116001431,0.9
6116001487,6116001489,0.9
6116001488,6116001489,0.9
6116001521,6116001527,0.9
6116001521,6116001527,0.9
6116001555,6116001554,0.9
6116001584,6116001585,0.9
6116001590,6116001596,0.9
6116001613,6116001619,0.9
6116001615,6116001619,0.9
6116001655,6116001657,0.9
6116001668,6116001661,0.9
6116001680,6116001687,0.9
6116001700,6116001703,0.9
6116001714,6116001718,0.9
6116001729,6116001722,0.9
6116001751,6116001759,0.9
6116001784,6116001783,0.9
6116001838,6116001833,0.9
6116001838,6116001833,0.9
6116001845,6116001049,0.8
6116001868,6116001865,0.9
6116001873,6116001871,0.9
6116001925,6116001620,0.8
6116001926,6116001620,0.8
6116001940,6116001941,0.9
6116001951,6116001458,0.8
6116002006,6116002009,0.9
6116002035,6116002037,0.9
6116002145,6116002146,0.9
6116002175,6116002174,0.9
6116002181,6116002189,0.9
6116002197,6116002193,0.9
6116002222,6116002221,0.9
6116002226,6116002221,0.9
6116002250,6116002157,0.8
6116002315,6116002314,0.9
6116002319,6116002314,0.9
6116002340,6116002341,0.9
6116002347,6116002341,0.9
6116002361,6116002364,0.9
6116002480,6116002488,0.9
6116002551,6116002558,0.9
6116002561,6116002563,0.9
6116002566,6116002563,0.9
6116002613,6116002638,0.8
6116002617,6116002638,0.8
6116002676,6116002679,0.9
6116002721,6116002729,0.9
6116002741,6116002740,0.9
6116002761,6116002765,0.9
6116002761,6116002765,0.9
6116002769,6116002765,0.9
6118001586,6115001584,0.8
6118001612,6118001619,0.9
6118001649,6118001646,0.9
6118001720,6118001625,0.8
6118001805,6118001801,0.9
6118001807,6118001801,0.9
6118001854,6118002854,0.8
6118001942,6118001910,0.8
6118001954,6118002953,0.8
6118001962,6118001910,0.8
6118002034,6118002037,0.9
6118002042,6118002849,0.8
6118002073,6118002374,0.8
6118002074,6118002374,0.8
6118002085,6118002081,0.9
6118002086,6118002081,0.9
6118002108,6118002102,0.9
6118002113,6118002110,0.9
6118002133,6118002124,0.8
6118002149,6118002124,0.8
6118002150,6118002158,0.9
6118002167,6118002162,0.9
6118002204,6118002205,0.9
6118002212,6118002219,0.9
6118002229,6118002224,0.9
6118002249,6118002248,0.9
6118002254,6118002257,0.9
6118002272,6118002279,0.9
6118002275,6118002279,0.9
6118002316,6118002394,0.8
6118002320,6118002322,0.9
6118002408,6118002407,0.9
6118002421,6118002427,0.9
6118002421,6118002427,0.9
6118002472,6118002474,0.9
6118002491,6118002498,0.9
6118002493,6118002498,0.9
6118002516,6118002515,0.9
6118002554,6118002566,0.8
6118002565,6118002566,0.9
6118002569,6118002566,0.9
6118002596,6118002593,0.9
6118002620,6118002629,0.9
6118002690,6118002698,0.9
6118002692,6118002698,0.9
6118002705,6118002704,0.9
6118002742,6118002849,0.8
6118002825,6118002824,0.9
6118002899,6118002394,0.8
6118002939,6118002953,0.8
6118002942,6118002953,0.8
6118003045,6118003044,0.9
6118003055,6118003052,0.9
6118003069,6118003073,0.8
6118003260,6118003268,0.9
6118003281,6118003287,0.9
6118003281,6118003287,0.9
6118003345,6118003342,0.9
6118003400,6118003604,0.8
6118003451,6118003256,0.8
6118003484,6118003287,0.8
6118003522,6118003324,0.8
6118003578,6118003575,0.9
6129000504,6129000520,0.8
6129000663,6129000669,0.9
6129000692,6129000629,0.8
6129001133,6129001121,0.8
6129001259,6129002251,0.8
6129001876,6129001874,0.9
6129001946,6129001902,0.8
6129001982,6129001902,0.8
6129001989,6129001902,0.8
6129002168,6129002119,0.8
6129002179,6129002178,0.9
6129002195,6129002194,0.9
6129002203,6129002208,0.9
6129002211,6129002294,0.8
6129002216,6129002294,0.8
6129002249,6129002240,0.9
6129002299,6129002294,0.9
6129002299,6129002294,0.9
6129002300,6129002317,0.8
6129002329,6129002323,0.9
6129002336,6129002317,0.8
6129002346,6129002341,0.9
6130000011,6130000071,0.8
6130000019,6130000071,0.8
6130000023,6130000027,0.9
6130000054,6130000071,0.8
6130000058,6130000071,0.8
6130000061,6130000071,0.8
6130000081,6130000071,0.8
6130000158,6130000188,0.8
6130000160,6130000188,0.8
6130000167,6130000188,0.8
6130000177,6130000071,0.8
6130000179,6130000071,0.8
6130000190,6130000193,0.9
6130000195,6130000193,0.9
6130000196,6130000193,0.9
6130000229,6130000239,0.8
6130000230,6130000239,0.9
6130000247,6130000245,0.9
6130000879,6130000071,0.8
