tablet_mac_address,tablet_serial_number
80a5890fb7af,5A22000952
80a5890fbf87,5A28000934
80a5890fbf91,5A27000513
80a5890fbff1,5A29000397
80a5890fc0ff,5A28000007
80a5890fc21f,5B13000755
80a5890fc2af,5A28001261
80a5890fc55b,5A27000789
80a5890fc5c9,5A28001224
80a5890fcc5d,5A23002820
80a5890fd39f,5B13001433
80a5890fd401,5B13001421
80a5890fd57d,5B13000744
80a5890fd5b9,5A29001377
80a5890fe0e9,6112001270
80a5890ff8af,5A28002687
80a5890ff8fd,5A28002499
80a5890ff9e3,5A28001231
80a5890ffd11,5B13001112
80a5890ffe9f,5B13001136
80a589100005,5B13001132
80a58912b18b,5A29000627
80a58912b4d5,5A27000859
80a58912b5a5,5B13002169
80a58912c907,5A27001834
80a58912d20b,5A21000530
80a58912d617,5A21000609
80a58912dcfd,5A28000924
80a58912de57,5A28000985
80a58912de77,5A28001937
80a589334725,5A27001392
80a589334857,5A27000965
80a589337c31,5A27001431
80a589337dc7,5A27001710
80a589337ea1,5A27002193
80a58933825b,5A27000924
80a58933832f,5A28001331
80a58933846b,5A27001997
80a58933883b,5A27001314
80a589338a99,5A27001327
80a58933ccf3,6112001184
80a58933cec7,6112001154
80a5893a0449,6111000144
80a5893a04c7,6109000645
80a5893a09c3,6112001352
80a5893a0bd1,6112000047
80a5893a0fd7,6111001963
80a5893a10ef,6112001106
80a5893a15e9,6111000752
80a5893a183d,6116000809
80a5893a1843,6111002101
80a5893a185d,6111002157
80a5893a19d5,5A29000709
80a5893a19f5,6111002005
80a5893a1b7f,6111000620
80a5893a1ec3,6112001211
80a5893a2497,6111001675
80a5893a252f,6111002106
80a5893a31fb,6118002953
80a5893a3213,6116001803
80a58952ffff,6116003321
80a589530bd9,6115000393
80a589530d8b,6116002761
80a589530dab,6116002769
80a589530e13,6116001868
80a589530e41,6118002408
80a589530e4b,6116002340
80a589530ecf,6116001951
80a589531025,6114000290
80a589531129,6116002604
80a5895311d7,6116002246
80a589531291,6116001158
80a5895312fb,6116002157
80a589531385,6118002759
80a58953139b,6118003044
80a5895313c9,6118002850
80a5895313dd,6118002854
80a58953150d,5B05001790
80a589531595,6118002167
80a5895315ad,6118002127
80a5895315bb,6118002175
80a5895315e7,6116001534
80a58953166b,6116001601
80a589531677,6116001807
80a58953168f,6118003291
80a58953171b,6116000751
80a58953177f,6116001423
80a589531803,6115000490
80a58953184f,6116001620
80a589531947,6116001180
80a589531985,6116001041
80a589531a09,6116001237
80a589532fd9,5A27000683
80a589533a9b,5A29001357
80a589533fab,5B13000781
80a589534477,6129000850
80a58953449f,6129000813
80a589536f9b,6115000508
80a589537075,6113001540
80a5895371f9,6115001278
80a58953722b,6115001676
80a58953732f,6118002374
80a58953745b,6116001467
80a5895374d5,6115001299
80a58953763d,6116001746
80a589537669,6116001662
80a5895376af,6116001439
80a5895376bb,6116001421
80a589537719,6116002676
80a589537755,6116002341
80a5895377a1,6116002361
80a5895377db,6118002124
80a58953782b,6118001910
80a58953789d,6118002322
80a5895378cd,6118002182
80a5895378cf,6118002187
80a5895378fd,6118002184
80a589537907,6118002229
80a5895379d1,6118002074
80a589537a63,6118003522
80a589537a7f,6118002565
80a589537ab7,6118003256
80a589537ac7,6118002302
80a589537c33,6115001453
