team,village_id,week_end_date,tablet_serials_count,tablet_serials
ONEBILLION,86,2018-04-13,6,"['5A29000653', '6109000134', '6111000156', '6111000290', '6111000307', '6111000756']"
ONEBILLION,87,2018-04-13,8,"['5A27000805', '5A29001454', '6109001185', '6116001697', '6118001625', '6118003039', '6126000092', '6129001065']"
ONEBILLION,89,2018-04-13,13,"['5A22000869', '5A27001530', '5A29000433', '6111001347', '6111001887', '6111002124', '6116001429', '6118002192', '6118002727', '6118002973', '6118003087', '6118003468', '6118003534']"
ONEBILLION,90,2018-04-13,21,"['5A22000792', '5A22001051', '5A27000588', '5A28000209', '5A29000831', '6111000027', '6111000906', '6111001106', '6113001057', '6115000451', '6116001903', '6116002563', '6118001685', '6118001709', '6118002093', '6118002427', '6118002764', '6118002785', '6118003213', '6118003317', '6129001207']"
ONEBILLION,91,2018-04-13,10,"['5A22000824', '5A27002010', '5A28001810', '5A29001262', '5A29001274', '6115001553', '6116000984', '6116001329', '6116001703', '6118002598']"
ONEBILLION,92,2018-04-13,19,"['5A29000649', '5B20001191', '6111000037', '6111001830', '6115000483', '6115001503', '6116001168', '6116001229', '6116001698', '6116002240', '6116002740', '6118001533', '6118001608', '6118001646', '6118002037', '6118002672', '6118002685', '6118002778', '6118003601']"
ONEBILLION,93,2018-04-13,10,"['5A22000854', '5A27000649', '6111001096', '6116001195', '6116001972', '6116002537', '6118002658', '6118002700', '6118002789', '6118003009']"
ONEBILLION,94,2018-04-13,19,"['5A27002032', '5A28002583', '5A29001283', '5B04000194', '6111000262', '6111000668', '6111001869', '6111001910', '6113001699', '6115001383', '6116000825', '6116001356', '6116001881', '6116002083', '6118002001', '6118002525', '6118002656', '6118003006', '6118003036']"
ONEBILLION,95,2018-04-13,17,"['5A23001869', '5A28000163', '5A28001963', '5A29000486', '5A29001387', '5B13000692', '6111001089', '6111001618', '6111001826', '6113001692', '6115000574', '6116001014', '6116002318', '6116002600', '6116002709', '6118002515', '6129001121']"
ONEBILLION,96,2018-04-13,4,"['6109000111', '6116000855', '6118002102', '6118003575']"
ONEBILLION,98,2018-04-13,3,"['5A27001566', '6111000845', '6116001048']"
ONEBILLION,99,2018-04-13,17,"['5A27000442', '5A28000370', '6111002146', '6113000230', '6114000546', '6115000526', '6115001399', '6116001852', '6116001878', '6116002185', '6118002009', '6118002028', '6118002289', '6118002387', '6118002666', '6118002698', '6129002341']"
ONEBILLION,101,2018-04-13,11,"['5A23001941', '5A27000680', '5A27001515', '5A27001964', '5A29001436', '6112001153', '6116000763', '6116001147', '6116001264', '6116001981', '6118002081']"
ONEBILLION,102,2018-04-13,5,"['6109001102', '6116001044', '6116002687', '6118002276', '6126000428']"
ONEBILLION,103,2018-04-13,8,"['6111001816', '6113000598', '6115001773', '6116001294', '6116002136', '6116002406', '6118001645', '6130000194']"
ONEBILLION,104,2018-04-13,6,"['5B20000638', '6111001837', '6111001894', '6116000979', '6116002071', '6118002992']"
ONEBILLION,105,2018-04-13,6,"['5A29000380', '5B20001566', '6109001478', '6111001762', '6116001026', '6118003019']"
ONEBILLION,106,2018-04-13,7,"['5A23001927', '6111000591', '6111001065', '6116000904', '6116000915', '6116001183', '6116001826']"
ONEBILLION,107,2018-04-13,7,"['5A27000950', '5A27001950', '5A29001239', '5B07003161', '6116001144', '6116002129', '6118002688']"
ONEBILLION,109,2018-04-13,8,"['5A28000182', '5A28000329', '6115000392', '6115001668', '6116001068', '6116002092', '6116002432', '6118001745']"
ONEBILLION,110,2018-04-13,13,"['5A27001219', '5A29000558', '5A29000598', '6109001500', '6113000571', '6115001277', '6115001499', '6115001623', '6115002185', '6116001099', '6116001483', '6116001833', '6116002729']"
ONEBILLION,111,2018-04-13,13,"['5A23001238', '5A27000687', '5A27001943', '5A27002039', '5A28001131', '5A28002445', '6111000971', '6111002173', '6116001093', '6116001410', '6116002479', '6118002717', '6130000472']"
ONEBILLION,112,2018-04-13,5,"['5A27001662', '6115001570', '6116001851', '6116001986', '6126000209']"
ONEBILLION,113,2018-04-13,17,"['5A23002107', '5A27001928', '5A28002618', '5A29000441', '5C03000113', '6111001641', '6112001491', '6113001095', '6113001685', '6115001405', '6116000755', '6116000833', '6116001091', '6116001554', '6116001722', '6116002184', '6118003210']"
