serial_number,closest_match,closest_match_percentage
5A27000941,5A29000947,0.8
5A28000194,5A28000198,0.9
5B12003100,5B12003105,0.9
5B13000655,5B13000552,0.8
6111001821,6111001826,0.9
6111001855,6111001859,0.9
6115000402,6115000404,0.9
6116002308,6116002300,0.9
6116002514,6116002515,0.9
6118001879,6118001878,0.9
6118002229,6118002520,0.8
6118002379,6118002376,0.9
6118002554,6118002559,0.9
6118002929,6118002925,0.9
6118002987,6118002989,0.9
6118003045,6118003046,0.9
6128000670,6128000644,0.8
6128001379,6116001372,0.7
6129001165,6129001109,0.8
6129002168,6129002191,0.8
