serial_number,closest_match,closest_match_percentage
5A22000659,5A22000679,0.8
5A22000754,5A22000957,0.8
5A22000802,5A22000806,0.9
5A22000863,5A27000864,0.8
5A22000952,5A22000957,0.9
5A22001119,5A21001111,0.8
5A22001194,5A27001196,0.8
5A27000071,5A27000972,0.8
5A27000291,5A27000246,0.8
5A27000444,5A27000459,0.8
5A27000497,5A27000459,0.8
5A27000513,5A27000711,0.8
5A27000580,5A27001580,0.8
5A27000656,5A29000653,0.8
5A27000660,5A27000864,0.8
5A27000674,5A22000679,0.8
5A27000715,5A27000711,0.9
5A27000715,5A27000711,0.9
5A27000788,5A27000711,0.8
5A27000959,5A27000459,0.8
5A27001051,5A27001753,0.8
5A27001248,5A27001219,0.8
5A27001256,5A27001753,0.8
5A27001302,5A27001307,0.9
5A27001357,5A27001307,0.8
5A27001538,5A27001530,0.9
5A27001538,5A27001530,0.9
5A27001547,5A27001543,0.9
5A27001576,5A27001575,0.9
5A27001626,5A27001661,0.8
5A27001667,5A27001661,0.9
5A27001704,5A27001307,0.8
5A27001755,5A27001753,0.9
5A27001817,5A27001416,0.8
5A27001820,5A27001891,0.8
5A27001849,5A27001891,0.8
5A27001902,5A27001907,0.9
5A27001918,5A27001932,0.8
5A27001929,5A27001932,0.8
5A27001936,5A27001932,0.9
5A27002022,5A27002127,0.8
5A27002030,5A27002130,0.8
5A27002061,5A27002160,0.8
5A28000083,5A28000383,0.8
5A28000204,5A28000400,0.8
5A28000293,5A28000198,0.8
5A28000299,5A28000198,0.8
5A28000314,5A28000396,0.8
5A28000327,5A28000396,0.8
5A28000381,5A28000383,0.9
5A28000388,5A28000383,0.9
5A28000844,5A28000872,0.8
5A28000917,5A28000952,0.8
5A28001138,5A28001127,0.8
5A28001139,5A28001127,0.8
5A28001166,5A28001127,0.8
5A28001174,5A28001127,0.8
5A28001208,5A28001909,0.8
5A28002156,5A28002152,0.9
5A28002178,5A27002171,0.8
5A28002196,5A28000198,0.8
5A28002272,5A28002201,0.8
5A28002382,5A28000383,0.8
5A28002425,5A28002324,0.8
5A28002478,5A28002453,0.8
5A28002489,5A28002483,0.9
5A28002546,5A28002440,0.8
5A28002551,5A28002555,0.9
5A28002553,5A28002555,0.9
5A28002559,5A28002555,0.9
5A28002561,5A28002504,0.8
5A28002584,5A28002483,0.8
5A28002606,5A28002602,0.9
5A28002612,5A28002602,0.8
5A28002621,5A28002324,0.8
5A28002641,5A28002602,0.8
5A28002660,5A28002602,0.8
5A28002674,5A28002602,0.8
5A28002674,5A28002602,0.8
5A29000316,5A29000335,0.8
5A29000336,5A29000335,0.9
5A29000389,5A28000383,0.8
5A29000526,5A27000526,0.8
5A29000588,5A29000683,0.8
5A29000620,5A29000622,0.9
5A29000626,5A29000622,0.9
5A29000627,5A29000622,0.9
5A29001267,5A27001262,0.8
5A29001287,5A29001382,0.8
5A29001303,5A29001382,0.8
5A29001321,5A29001322,0.9
