team,village_id,week_end_date,tablet_serials_count,tablet_serials
ROBOTUTOR,114,2018-09-28,1,['5A29000622']
ROBOTUTOR,115,2018-09-28,4,"['5A22001009', '5A23002191', '6116001756', '6118003207']"
ROBOTUTOR,116,2018-09-28,3,"['5B20001289', '6116002019', '6118002675']"
ROBOTUTOR,117,2018-09-28,1,['6113000799']
ROBOTUTOR,118,2018-09-28,5,"['5B12003105', '5B12003328', '6115001829', '6116001542', '6116002497']"
ROBOTUTOR,120,2018-09-28,5,"['5B20001409', '6115001195', '6118001869', '6118003351', '6118003610']"
ROBOTUTOR,122,2018-09-28,3,"['6111001011', '6111002047', '6118002311']"
ROBOTUTOR,123,2018-09-28,1,['6116000795']
ROBOTUTOR,124,2018-09-28,4,"['5B23001012', '6115001616', '6116001154', '6118002275']"
ROBOTUTOR,125,2018-09-28,13,"['5A22000709', '5B12004661', '5B20001060', '6111001157', '6116000786', '6116001510', '6116001512', '6116001757', '6116002075', '6116002308', '6118002525', '6118002986', '6118003513']"
ROBOTUTOR,126,2018-09-28,2,"['5A28001127', '5A29000739']"
ROBOTUTOR,127,2018-09-28,5,"['5A28000305', '5B04000109', '6116001675', '6118003027', '6118003039']"
ROBOTUTOR,128,2018-09-28,14,"['5A27000711', '5A27001753', '5B16000105', '5B20001208', '5C03000328', '6111001083', '6111002085', '6116001672', '6116001715', '6116001848', '6116002514', '6116002652', '6118002576', '6118002639']"
ROBOTUTOR,129,2018-09-28,3,"['6111002030', '6115001222', '6118002379']"
ROBOTUTOR,131,2018-09-28,1,['6113001045']
ROBOTUTOR,132,2018-09-28,4,"['5A22001134', '6115002167', '6116002112', '6118002735']"
ROBOTUTOR,133,2018-09-28,5,"['5B12002649', '6115001477', '6116002525', '6116002620', '6118003265']"
ROBOTUTOR,134,2018-09-28,5,"['5A28000383', '6115001489', '6116002163', '6116002623', '6118003300']"
ROBOTUTOR,135,2018-09-28,1,['6116001553']
ROBOTUTOR,136,2018-09-28,2,"['5A27000972', '6118001705']"
ROBOTUTOR,137,2018-09-28,1,['6118002987']
ROBOTUTOR,138,2018-09-28,2,"['5C01001557', '5C03001014']"
ROBOTUTOR,139,2018-09-28,5,"['5A27000621', '5B12003089', '6116001985', '6118002597', '6118003232']"
ROBOTUTOR,140,2018-09-28,7,"['5A29000606', '5A29000947', '6111002143', '6116002086', '6116002257', '6118002883', '6129001284']"
ROBOTUTOR,141,2018-09-28,8,"['5A27001649', '5A28000070', '6115001475', '6116001770', '6116002564', '6116002816', '6118003290', '6118003419']"
